word	context
三国	考虑到电子商务对创造新经济价值的重要性，我们一致认为在互利互惠的基础上开展电子商务合作对～有利。
粉丝	将大量的客流转化成实际销售，将普通顾客变为忠实～，对于销售的提升效果不言而喻。
千斤	“把高标准农田建设好，实现‘一季～，两季吨粮’，就可以基本上保障粮食收成，这是我们的看家底数。”农业农村部部长韩长赋说。
要好	采访中，驻俄使馆总领事蒋薇多次说，比起那些在条件更艰苦、局势更混乱国家使馆工作的同事，他们所处的工作环境～，面对的危险困难要少，没多少值得说。
修好	由于身体不能长时间蹲站，为了～摩托车，他干脆坐在地上干活。
发物	发钱～“一发了之”，或统一入股分红“一分了之”，或低保兜底“一兜了之”，都没有下足绣花功夫，扶贫成效可能会打折扣。
光棍	村里妮儿不愿留，外面的妮儿不愿来，村里不少好小伙儿打～。
八字	“巩固、增强、提升、畅通”，中央经济工作会议的～方针在金融领域已有作为并大有可为，下一步深化金融供给侧结构性改革仍要找准服务重点，以服务实体经济、服务人民生活为本。
大限	省里给相关地区和部门定下的“时间～”是：2017年12月31日之前，保护区的核心区内，欧美黑杨要全部清理退出；3年之内，保护区的缓冲区和实验区内，杨树的清理和防护林树种调整任务，必须完成。
套套	麦苗正拔节，这些天植保无人机、北斗导航仪、激光平地仪，一～新型农机奔跑田间，整地松土、施肥喷药，2000亩地几天搞定。
停机	7、8月份正值正负电子对撞机的～维修期，这期间他主要待在北京。
记事	1983年，我四周岁，也就是刚～的年纪，电视第一次走进我的人生。
红区	重症病房是感染风险最高、最危险的区域，也是战疫的“火线”，被称为“～”。
大忙	很多家长都觉得，这本书帮了他们～。
修书	从文物鉴定与修复专业毕业后，夏天妮选择了这份工作，因为“静下心来干活是一种享受，～时每一步下去都很是期待，能从中看到历史印记，前人的手法和技艺”。
身后	穷凶极恶的张某为逃避抓捕，又挥起弹簧刀猛刺～的王平顺。
光棍	紧邻景区的七里坪村贫困户张庆阳，家里一亩地，过去一年忙到头收入不到2000元，56岁了还打～。
画到	～中途，斯克思将金丝织边的红色大衣斜披在肩头，抓起手套，急匆匆准备离开。
喷口	在“科学”号科考船2016年深海热液航次中，科研人员在1400米深海热液区发现了喷发含有超临界二氧化碳流体的热液～。
出山	优质消费品下乡，土特产品～。
粉丝	有的～原本不是文博爱好者，被他的照片打动，对博物馆产生兴趣。
大忙	“还好政策帮了～，租金补贴、社保补贴、岗位补贴、创业带动就业补贴等，大概能减免3万元。”蔡钰说，有关部门、学校还帮助对接合作伙伴，安排专人解答对应补贴申领的注意事项，全程跟进补贴落实情况。
是的	～，哪里有危险，哪里就有人民警察。
美美	文明互鉴，～与共。
假手	一名肢体残疾的女孩佩戴上一款智能～后，在钢琴上完成了一次令人惊叹的、完整的弹奏。
不和	经济工作是党的中心工作，企业是市场的主体，不论是国有企业还是民营企业，干部～企业家打交道，就不可能做好经济工作，更谈不上加快发展。
落子	坚持生态优先、绿色发展，沿河没有把崛起路径～在承接中东部落后产能上，而是依托绿色家底，着力构建绿色产业格局。
想来	“我！”“我！”“我！”当站在教室前的喻鑫拿出两个空竹，询问谁～试试看时，10多个孩子高高举起小手，蜂拥着挤到喻鑫身边，脸上是掩饰不住的兴奋和期待。
停机	调研显示，在光伏发电的设备、质量、施工方面存在着诸多隐患，比如逆变器由于风扇故障，造成～；部分区域农网电能质量较差，逆变器设备频繁跳闸脱网，无人处理，农民的收益得不到稳定保障。
总长	此次英美黄金阿散蒂公司出售的姆波能矿井已经深达4千米，是目前世界上最深的矿井，各个矿坑和巷道～达370千米。
冰霜	于是，年三十晚上盖着留有肥皂味的干净被子，大年初一清晨对着贴了窗花、结了～的窗子吹一口热气，露出的是明亮清澈的玻璃，就看到小伙伴早已在院子里欢快奔跑，朝大人喊过年好了！
洪量	大藤峡水利枢纽工程位于广西最大最长的峡谷——大藤峡出口处，控制西江流域面积的56.4%、西江水资源量的56%，控制洪水总量占梧州站～的65%。
带子	2014年，朱顺发被定为建档立卡贫困户后，他携妻～外出打工，把老母亲和一双未成年的女儿丢在家里。
一头	～毛驴，是他唯一的交通工具。
洗盘	擦盘毛巾、～毛巾编号搭放；员工茶杯、员工餐盒整齐排列。
赛会	看着脚下已露雏形的～雪道，张洁坚定地说：“这个节点目标不能变，也不会变！”目前，项目部对极寒气候的针对性措施已全部到位，造雪工程进入管线安装阶段。
同治	他主张中西结合诊治内科疾病，钻研“痰瘀～”疗法，在诊疗老年心脑血管疾病方面具有丰富经验。
大片	“张掖有黑河水的滋润，有～广袤的戈壁，日照时间充足，发展戈壁农业优势得天独厚。”海升现代农业有限公司人力资源部总监杨白桦介绍，目前公司日均产量10吨左右，产品销往华南、华北、东北等地的高端市场。
而立	在独龙江乡，记者沿江逆流而上到迪政当村，顺流至马库村，只见绵绵青山，满眼苍翠，花木扶疏间，一幢幢漂亮的安居房沿江～，一面面鲜艳的国旗迎风招展。
